,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
Acvrl1,False,442,0.1043449637919684,92.72547728768927,634,442,True,0.09612924076655985,0.6805802635637315,0.7755914
Nr4a1,False,588,0.18663594470046083,90.32258064516128,1134,588,True,0.17190144915036829,1.3742368816195845,3.2117708
5430421N21Rik,False,75,0.01596445029624753,98.76563528637261,97,75,True,0.020337045170110365,0.868296522539928,1.4348664
Igfbp6,False,1961,0.9952271231073074,67.72547728768927,6047,1961,True,0.9937157841511969,2.251654264747958,1.974571
Soat2,False,182,0.030612244897959183,97.00460829493088,186,182,True,0.046153437216561455,0.6389169500859199,0.6292664
Prr13,False,4690,3.846280447662936,22.811059907834096,23370,4690,True,1.8251922262429836,2.1590812741934444,1.2807528
Nfe2,False,1163,0.2906517445687953,80.85911784068466,1766,1163,True,0.32338644651264453,0.8803524707602661,0.7310596
Gpr84,False,126,0.028308097432521395,97.92626728110599,172,126,True,0.028398059844041736,0.758415835644426,1.0489564
Mefv,False,653,0.14285714285714285,89.25279789335089,868,653,True,0.1429941798197092,0.631353345200222,0.6027024
Rogdi,False,798,0.18104015799868334,86.8663594470046,1100,798,True,0.17411392025334446,0.6183972343372818,0.5571994
Carhsp1,False,1791,0.4761356155365372,70.52337063857802,2893,1791,True,0.5133597738434453,1.0645054122765194,1.2660083
Rpl39l,False,38,0.01152073732718894,99.37458854509545,70,38,True,0.012812642935509422,0.9667886878591023,1.7807791
Ciita,False,269,0.05612244897959184,95.57274522712311,341,269,True,0.07159476385968422,1.031621607589549,2.0084777
Socs1,False,975,0.20901909150757078,83.95325872284398,1270,975,True,0.24151816883865945,0.7532437463477861,1.0307915
Litaf,False,2780,1.2233377221856485,54.246214614878205,7433,2780,True,0.991859930631311,1.5326312900251737,0.8165728
Snn,False,347,0.07554312047399606,94.28900592495062,459,347,True,0.10321945343510472,0.9662363704569965,1.7788392
Txndc11,False,791,0.18104015799868334,86.9815668202765,1100,791,True,0.17259742255479615,0.8750912946854316,1.4587302
Tnfrsf17,False,38,0.01925608953258723,99.37458854509545,117,38,True,0.021416128117335505,2.0071686314391166,5.4346795
Snx29,False,354,0.06747860434496379,94.17379855167873,410,354,True,0.09683564201589395,0.8766063491624754,1.4640512
Fgd4,False,731,0.16342988808426595,87.96905859117841,993,731,True,0.16463779966346248,0.656199474185314,0.689964
Sdf2l1,False,1870,1.1140552995391706,69.22317314022384,6769,1870,True,0.6027647199154097,2.1184152657132964,4.3275266
2010309G21Rik,False,100,0.024851876234364714,98.35418038183015,151,100,True,0.037352439121958195,1.3298827802735846,3.0559957
B3gnt5,False,446,0.0826201448321264,92.65964450296248,502,446,True,0.11370580260241478,0.7081776151262261,0.87251556
Dgkg,False,179,0.03439763001974983,97.05398288347598,209,179,True,0.04588736827139815,0.8577444584953557,1.3978066
Bcl6,False,439,0.08163265306122448,92.77485187623437,496,439,True,0.09772590456253703,0.6401269062094426,0.63351583
Il1rap,False,645,0.1347926267281106,89.38446346280448,819,645,True,0.19297678787387962,1.0159032118276228,1.9532733
Hes1,False,529,0.1565174456879526,91.2936142198815,951,529,True,0.1474293848665139,1.2332404398466394,2.7165797
Fam43a,False,535,0.10911784068466096,91.1948650427913,663,535,True,0.1202525515782159,0.7061246025096676,0.8653052
Ppp1r2,False,2416,0.6548716260697828,60.236998025016455,3979,2416,True,0.60925104725,0.8730643989348322,0.7098884
Apod,False,95,0.05957867017774852,98.43647136273864,362,95,True,0.05305961783647371,2.2750254427714967,6.375415
Cep19,False,955,0.195687952600395,84.28242264647794,1189,955,True,0.22462697433368892,0.6307259931989323,0.60049903
Tctex1d2,False,921,0.1945358788676761,84.8420013166557,1182,921,True,0.2170628930787955,0.6993583466735307,0.8415415
Rubcn,False,307,0.05628703094140882,94.94733377221857,342,307,True,0.06598739420708401,0.6269643624837686,0.5872879
Itgb5,False,442,0.11652402896642527,92.72547728768927,708,442,True,0.08782620670581859,0.6208102242082912,0.565674
